Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2017-03-15;4,98;4,99;4,98;5,01;4,97;4,99;4,99;13217726;65936757,39;6887
2017-03-14;4,98;4,98;5,0;5,01;4,96;4,98;4,98;13052841;65047032,05;7042
2017-03-13;4,99;4,99;5,0;5,01;4,98;5,0;4,99;11870070;59276069,25;5955
2017-03-10;4,99;4,99;4,96;5,01;4,94;4,99;4,99;15236854;75965143,28;8136
2017-03-09;4,95;4,96;4,88;4,97;4,87;4,95;4,94;18054074;89143715,03;8775
2017-03-08;4,89;4,89;4,9;4,91;4,86;4,89;4,88;15890802;77610992,73;8487
2017-03-07;4,91;4,91;4,95;4,97;4,9;4,91;4,93;14866062;73273013,97;7439
2017-03-06;4,95;4,95;4,97;4,99;4,94;4,94;4,96;15083478;74767946,56;8464
2017-03-03;4,96;4,97;4,93;4,98;4,89;4,98;4,95;17236458;85304419,23;8262
2017-03-02;4,95;4,95;4,95;4,96;4,91;4,94;4,93;18407003;90784770,72;9813
2017-03-01;4,93;4,93;4,86;4,94;4,82;4,93;4,89;21250828;103857898,74;10393
2017-02-28;4,82;4,83;4,88;4,89;4,8;4,84;4,83;18576588;89749439,92;8011
2017-02-27;4,85;4,85;4,88;4,92;4,82;4,84;4,86;17606677;85629542,92;10687
2017-02-24;4,82;4,82;4,84;4,85;4,74;4,82;4,8;18647168;89530892,82;10377
2017-02-23;4,8;4,8;4,79;4,84;4,77;4,8;4,81;19010071;91458836,98;10131
2017-02-22;4,78;4,79;4,79;4,83;4,74;4,78;4,78;18542961;88691064,71;10067
2017-02-21;4,76;4,76;4,73;4,79;4,68;4,76;4,74;19989515;94684096,36;10367
2017-02-20;4,73;4,73;4,72;4,75;4,71;4,72;4,73;13198075;62421011,8;5415
2017-02-17;4,7;4,7;4,72;4,73;4,65;4,7;4,69;13962836;65428566,42;8292
2017-02-16;4,72;4,72;4,7;4,76;4,69;4,71;4,72;18164075;85809554,59;9393
2017-02-15;4,67;4,68;4,68;4,69;4,63;4,68;4,67;13137086;61324414,33;6613
2017-02-14;4,66;4,67;4,65;4,71;4,64;4,66;4,67;14057721;65614888,23;6983
2017-02-13;4,64;4,64;4,57;4,65;4,55;4,64;4,62;16184761;74807284,03;8733
2017-02-10;4,55;4,55;4,6;4,61;4,55;4,56;4,58;10948153;50098088,04;6089
2017-02-09;4,58;4,58;4,54;4,65;4,54;4,58;4,59;21932395;100676619,34;9357
2017-02-08;4,55;4,55;4,54;4,58;4,5;4,55;4,55;17251641;78409363,62;9142
2017-02-07;4,51;4,51;4,49;4,55;4,45;4,51;4,52;22022327;99429515,62;12060
2017-02-06;4,4;4,4;4,45;4,49;4,38;4,4;4,43;17071750;75645185,21;9124
2017-02-03;4,44;4,44;4,5;4,54;4,43;4,43;4,47;22638515;101195312,76;11301
2017-02-02;4,45;4,45;4,37;4,46;4,31;4,45;4,4;45246905;199095330,89;23265
2017-02-01;4,21;4,21;4,13;4,25;4,12;4,21;4,2;26433888;111053653,72;11654
2017-01-31;4,17;4,18;4,21;4,24;4,15;4,15;4,17;22992222;96009238,75;9354
